epoches:   0 | fidelity:0.294614 | time:2019-12-24 02:42:13 | duration:0.000000
epoches:  10 | fidelity:0.574729 | time:2019-12-24 02:42:15 | duration:0.000000
epoches:  20 | fidelity:0.793638 | time:2019-12-24 02:42:17 | duration:0.000000
epoches:  30 | fidelity:0.902605 | time:2019-12-24 02:42:19 | duration:0.000000
epoches:  40 | fidelity:0.979347 | time:2019-12-24 02:42:21 | duration:0.000000
epoches:  50 | fidelity:0.996025 | time:2019-12-24 02:42:23 | duration:0.000000
epoches:  60 | fidelity:0.998838 | time:2019-12-24 02:42:25 | duration:0.000000
epoches:  70 | fidelity:0.999432 | time:2019-12-24 02:42:26 | duration:0.000000
epoches:  80 | fidelity:0.999630 | time:2019-12-24 02:42:28 | duration:0.000000
epoches:  90 | fidelity:0.999730 | time:2019-12-24 02:42:30 | duration:0.000000
epoches: 100 | fidelity:0.999792 | time:2019-12-24 02:42:32 | duration:0.010000
epoches: 110 | fidelity:0.999835 | time:2019-12-24 02:42:34 | duration:0.010000
epoches: 120 | fidelity:0.999866 | time:2019-12-24 02:42:36 | duration:0.010000
epoches: 130 | fidelity:0.999889 | time:2019-12-24 02:42:38 | duration:0.010000
epoches: 140 | fidelity:0.999906 | time:2019-12-24 02:42:40 | duration:0.010000
epoches: 150 | fidelity:0.999920 | time:2019-12-24 02:42:42 | duration:0.010000
epoches: 160 | fidelity:0.999931 | time:2019-12-24 02:42:44 | duration:0.010000
epoches:   0 | fidelity:0.264743 | time:2019-12-24 02:43:08 | duration:0.000000
epoches:  10 | fidelity:0.964769 | time:2019-12-24 02:43:10 | duration:0.000000
epoches:  20 | fidelity:0.998340 | time:2019-12-24 02:43:13 | duration:0.000000
epoches:  30 | fidelity:0.996148 | time:2019-12-24 02:43:15 | duration:0.000000
epoches:  40 | fidelity:0.997796 | time:2019-12-24 02:43:17 | duration:0.000000
epoches:  50 | fidelity:0.999081 | time:2019-12-24 02:43:19 | duration:0.000000
epoches:  60 | fidelity:0.999657 | time:2019-12-24 02:43:22 | duration:0.000000
epoches:  70 | fidelity:0.999877 | time:2019-12-24 02:43:24 | duration:0.000000
epoches:  80 | fidelity:0.999956 | time:2019-12-24 02:43:26 | duration:0.000000
epoches:  90 | fidelity:0.999985 | time:2019-12-24 02:43:28 | duration:0.010000
epoches: 100 | fidelity:0.999995 | time:2019-12-24 02:43:30 | duration:0.010000
epoches: 110 | fidelity:0.999998 | time:2019-12-24 02:43:33 | duration:0.010000
epoches: 120 | fidelity:0.999999 | time:2019-12-24 02:43:35 | duration:0.010000
epoches: 130 | fidelity:1.000000 | time:2019-12-24 02:43:37 | duration:0.010000
epoches: 140 | fidelity:1.000000 | time:2019-12-24 02:43:39 | duration:0.010000
epoches: 150 | fidelity:1.000000 | time:2019-12-24 02:43:41 | duration:0.010000
epoches: 160 | fidelity:1.000000 | time:2019-12-24 02:43:44 | duration:0.010000
epoches: 170 | fidelity:1.000000 | time:2019-12-24 02:43:46 | duration:0.010000
epoches: 180 | fidelity:1.000000 | time:2019-12-24 02:43:49 | duration:0.010000
epoches: 190 | fidelity:1.000000 | time:2019-12-24 02:43:51 | duration:0.010000
epoches:   0 | fidelity:0.024499 | time:2019-12-24 02:44:16 | duration:0.000000
epoches:  10 | fidelity:0.241486 | time:2019-12-24 02:44:18 | duration:0.000000
epoches:  20 | fidelity:0.823909 | time:2019-12-24 02:44:20 | duration:0.000000
epoches:  30 | fidelity:0.992805 | time:2019-12-24 02:44:23 | duration:0.000000
epoches:  40 | fidelity:0.999840 | time:2019-12-24 02:44:25 | duration:0.000000
epoches:  50 | fidelity:0.999997 | time:2019-12-24 02:44:27 | duration:0.000000
epoches:  60 | fidelity:1.000000 | time:2019-12-24 02:44:29 | duration:0.000000
epoches:  70 | fidelity:1.000000 | time:2019-12-24 02:44:31 | duration:0.000000
epoches:  80 | fidelity:1.000000 | time:2019-12-24 02:44:34 | duration:0.000000
epoches:  90 | fidelity:1.000000 | time:2019-12-24 02:44:36 | duration:0.010000
epoches: 100 | fidelity:1.000000 | time:2019-12-24 02:44:38 | duration:0.010000
epoches: 110 | fidelity:1.000000 | time:2019-12-24 02:44:40 | duration:0.010000
epoches: 120 | fidelity:1.000000 | time:2019-12-24 02:44:42 | duration:0.010000
epoches: 130 | fidelity:1.000000 | time:2019-12-24 02:44:44 | duration:0.010000
epoches: 140 | fidelity:1.000000 | time:2019-12-24 02:44:46 | duration:0.010000
epoches: 150 | fidelity:1.000000 | time:2019-12-24 02:44:48 | duration:0.010000
epoches: 160 | fidelity:1.000000 | time:2019-12-24 02:44:51 | duration:0.010000
epoches: 170 | fidelity:1.000000 | time:2019-12-24 02:44:53 | duration:0.010000
epoches: 180 | fidelity:1.000000 | time:2019-12-24 02:44:55 | duration:0.010000
epoches: 190 | fidelity:1.000000 | time:2019-12-24 02:44:57 | duration:0.010000
